Entity,Code,Year,Global Hunger Index (2021)
Afghanistan,AFG,2000,50.9
Albania,ALB,2000,20.7
Bangladesh,BGD,2021,19.1
Bolivia,BOL,2021,12.7
Bosnia and Herzegovina,BIH,2000,9.3
